userid,label,v1_mfcc1,v1_mfcc2,v1_mfcc3,v1_mfcc4,v1_mfcc5,v1_mfcc6,v1_mfcc7,v1_mfcc8,v1_mfcc9,v1_mfcc10,v1_mfcc11,v1_mfcc12,v1_mfcc13,v1_mfcc14,v1_mfcc15,v1_mfcc16,v1_mfcc17,v1_mfcc18,v1_mfcc19,v1_mfcc20,v1_mfcc21,v1_mfcc22,v1_mfcc23,v1_mfcc24,v1_mfcc25,v1_mfcc26,v1_mfcc27,v1_mfcc28,v1_mfcc29,v1_mfcc30,v1_mfcc31,v1_mfcc32,v1_mfcc33,v1_mfcc34,v1_mfcc35,v1_mfcc36,v2_meanX,v2_meanY,v2_meanZ,v2_sdX,v2_sdY,v2_sdZ,v2_maxX,v2_maxY,v2_maxZ,v2_corXY,v2_corXZ,v2_corYZ,v2_meanMagnitude,v2_sdMagnitude,v2_auc,v2_meanDif
user1,watch_tv,120.078886218676,3.02517055646207,0.390507519952785,-1.77784812841785,-9.21606049221963,-6.56763234718627,-9.9187613930323,-9.14553445855934,-4.625030000807,-4.46765136262524,3.59211107489738,2.40490660103961,137.876358685354,3.99650200562467,-8.10703731300537,-2.7693523907412,-5.43969728083572,-4.90427582984684,-5.3252941075118,0.00538058447069415,-4.77860233102959,6.14267104006934,-4.03369590228468,-4.67024923415447,126.918290036353,-0.552026154554701,-6.03412572793995,-6.2660507609129,-6.06027290693866,-5.37761535151147,-6.92146094195645,-6.91132348010554,-5.35189601955257,-3.98184585418991,-3.90246183804638,2.06505164108637,-0.340983072,0.845370530724638,-0.162049224724638,0.318284945743793,0.238652110043684,0.14345148076057,0.09741211,1.0881348,0.22705078,0.900163196540918,-0.729510578656212,-0.863477973756331,1.01480497669667,0.0604244710727823,70.0215433920701,-0.000363964335755568
user1,watch_tv,130.243139187771,2.55227772238835,-6.45787911777927,-7.44015904742639,-3.07010625817469,-3.47547566240575,-5.71881898995126,-2.87817444130455,-0.894521817669787,-5.61275904681573,-6.88029200219578,0.170043314878194,121.693686662294,1.65766324825304,-10.6392004676304,-10.7207638402856,-2.92442873425127,-4.99555119872866,-9.13059668405967,-6.32558746455697,-2.74364713236072,-0.308406593799894,1.67180823088614,-0.0798897629291958,123.26795481213,2.08654961075253,-5.76695622151249,-9.75948424424837,-2.09428502437055,-2.3206628280838,-5.04343609893467,-6.26444797682663,-2.8329644976842,-6.50174959981789,-4.00033468864734,-2.81088980877819,0.282257467443038,0.877509397974684,0.120324242739241,0.198215575071322,0.257069487405297,0.265057446272211,0.7036133,1.4248047,0.81811523,-0.210430976601671,0.319598626071894,-0.722540792671657,1.00571269322696,0.162644398125406,79.45130276493,-0.00623412343286481
user1,watch_tv,122.259208851707,1.97026685010026,-8.98057538525858,-10.2220303509167,-3.56499370031836,-2.49690608842772,-5.58489994107319,-6.73058819284738,-4.07989039227478,-8.98759854820375,-0.0910706905038025,-0.551506770298653,123.44478733256,1.76918785888926,-8.90723822265011,-9.31609804413702,0.0409951261309236,-0.646261797250041,-6.96577190297039,-10.687579599499,-6.54737417612276,-6.68949344339302,-0.596485893868918,0.216512952243804,121.306587478857,2.95538709776006,-10.1640676656461,-10.6547437835675,0.0880870848518412,-0.292559518952788,-2.87327682807515,-7.47376782991039,-9.42462258056936,-5.53664060660282,0.53072996793728,-0.602268512089562,0.30656770025974,0.951606255844156,-0.0778872003246753,0.00279854328101057,0.00628615420496724,0.00346852828675546,0.3125,0.97265625,-0.0703125,-0.0188616478285361,-0.093852394994453,-0.305721936531576,1.00280931074962,0.00610030067137445,77.216316927721,1.91170899521784e-05
user1,watch_tv,122.60956611389,3.18874004367311,-7.04939687501884,-10.5698748479342,-0.220824225398409,-0.649459270109414,-4.97582523072581,-6.85628774341401,-5.52496400735914,-6.55174896149084,-1.45495425301731,-1.00531613672603,121.974828694976,-0.109167610736817,-7.87594432389325,-9.60870934377714,-0.622967805603568,-1.74833127966346,-7.84790485399831,-6.8105313545694,-7.62597075577402,-6.54634101997247,2.62414020470958,1.83857224614777,122.803617310995,1.40439593599263,-7.36564631708271,-10.8249258446955,-2.47262233813657,-3.82309002306658,-6.37787380671742,-8.15776653316508,-5.85536317477819,-8.53141812805233,1.65821572977488,4.53820292105105,0.314863280666667,0.9486035136,-0.0810742189733333,0.0115539481824351,0.0203340783826482,0.0106443223790211,0.34985352,1.0200195,-0.053222656,0.49243863628396,0.273063652530939,-0.0230507418781928,1.0028782086024,0.0212920255197813,75.2158656451798,-2.33210315898091e-05
user1,watch_tv,121.393022592818,1.33879819832913,-8.70618298394485,-8.65499676378825,-4.93531047194821,-3.40165575545898,-5.03136119866635,-7.95792358207164,-8.61395731698896,-3.0881700543522,6.10575906273716,1.63903732461242,122.134077977422,1.42031921882814,-8.39283756791343,-9.41615916933947,0.910150797385025,-3.28290430820134,-5.02362644753004,-7.51169163005185,-5.95992762794578,-5.98310914936401,0.156111110137805,1.46991130725666,128.034579168028,1.1511628208,-11.6123305403534,-11.0742726923109,-7.94512014892494,-10.4349460345532,-1.27052513772715,1.75142470011419,-8.497200891734,-7.67085764053389,-0.669723290839781,-4.65046639119381,0.318503796901408,0.947853624507042,-0.0835304796619718,0.00188866166649417,0.00304052526792554,0.00368881982946564,0.32226563,0.9550781,-0.0769043,-0.22629607563199,-0.217439185409122,-0.0538953324464154,1.00342740155058,0.00284857784466073,71.2433455100914,-8.34073031965306e-05
user1,watch_tv,123.525907628997,3.39756873310135,-5.72349289349447,-11.7703885092944,-3.87066464020103,-6.78023869433265,-8.09170602050097,-8.10116612177237,-8.10586676518625,-6.05115277343152,1.0961280808756,2.7817186666175,122.817370515318,0.653467465258322,-8.00856345295884,-10.1540768990562,-7.67535722084352,-4.9162861917368,-3.24226750360412,-5.89770347675156,-5.67957831203639,-5.64248134973046,0.518456132805212,-0.846019774595699,118.02089181853,1.6574128225388,-2.40631692443338,-7.75923279648182,-3.60378894049372,-1.27059687974342,-1.44410575183509,-2.86279097483405,-2.94593679323878,-3.89569883574512,3.29698142605434,3.58038494939656,0.320345294626866,0.946070428656716,-0.0874788657164179,0.00142730616639043,0.00295917380512314,0.00220801113458182,0.32421875,0.9555664,-0.08227539,-0.479371924596017,-0.176859032749861,-0.332939779841432,1.00266208223624,0.002684677285939,67.1783595098283,-6.21222372140919e-06
user1,watch_tv,117.888439837859,1.60413448324859,-5.03230762170993,-7.85439744209564,-8.68112985657233,-6.23122352176139,-1.86136666948625,-2.90054612834053,-1.59654199250164,-2.76091337890218,3.64845661520916,7.87703705891575,114.893132982052,-0.427153068093808,-7.37544097522932,-6.68257046778776,-7.93273828606042,-3.22967360045651,-5.85300402499573,-4.34529733053676,-2.47526549806206,-1.21314311245698,3.1290568264545,7.09674334276004,120.971955657755,4.20736596558478,-7.84773441866212,-9.91315640524294,-7.99455222531845,-7.05749965356429,-2.44204249234562,0.11642565310159,-0.933503676012589,-1.77547800088943,6.22932972618305,2.32712930501624,0.318316749047619,0.945653523492063,-0.0861622644285714,0.0131941293628634,0.0145214530739288,0.00781106026498502,0.33911133,1.0151367,-0.045166016,-0.439711980841798,-0.407848574831702,-0.275235188129405,1.00164042072303,0.0129654275186569,63.1033465055511,-5.89123591059267e-05
user1,watch_tv,122.168825286977,0.593957833822556,-5.27447967059509,-5.72878620138023,-5.21913304037593,-6.20643481540973,-3.1133841165808,0.809054609853434,-2.90818578272972,-1.09769147355828,6.02551502338273,5.35011078703472,120.526157959176,4.71592306052603,-3.11109584786162,-5.07902523598501,-3.37481232885594,-4.85208952857061,-2.93242971002687,-5.91557216070896,-4.06575609762113,-2.75632496007957,3.54188340085021,2.978738854643,122.947953345082,3.60887364811222,-9.23230965821831,-4.48594412490987,-7.68711111080446,-12.0339969685473,-0.37474800213245,2.07380354998473,-4.53654770616227,-2.15507667670627,8.64857964827131,4.41185346917954,0.319698557352941,0.946088005294118,-0.08937701075,0.00220049942384432,0.00479213789689915,0.00343244469927584,0.3251953,0.95874023,-0.076416016,0.169922478415996,-0.270438704541296,-0.608500733520335,1.00264320602235,0.00488778160750507,68.1797380095199,0.000182051091510944
user1,watch_tv,118.254966453995,0.499331361227786,-9.60947480666339,-6.21498923653088,-6.68804995163991,-7.30431923548314,-8.87282616675084,-6.77711844224867,-2.21420327826436,-2.1181523284002,2.18389597827959,8.53240351639182,120.488704180816,2.32696911879382,-8.2987758541179,-9.247711869012,-8.83920375856985,-7.85447193065049,-5.06853413041609,-4.62230635296187,-3.77825407735251,-1.19217385914424,4.82670853831535,-0.413910794401898,121.273934393072,5.63579227320754,-4.16150291295661,-6.23476942548016,-6.14038201455022,-4.07454777319214,-5.93687753805826,-5.21223287608503,-3.37581392748951,-3.86858099915605,-0.925317966830134,2.44029974731322,0.319274088666667,0.946835937333333,-0.09000325488,0.00161451074938654,0.00277605134789692,0.00195580094123236,0.32226563,0.9536133,-0.08569336,-0.0644167009248102,0.0766746796421462,-0.407708408172047,1.00326543046672,0.00271026435540159,75.2449072850038,4.87095192738677e-05
user1,watch_tv,119.501677402352,4.6789768032136,-4.2781198569969,-7.03957562530252,-6.29279541658763,-6.20690989831581,-6.84062892217055,-7.25129082418323,-6.52793090274923,-5.16721753769035,-1.18086844467918,1.91075752819226,117.689985707291,3.07962029873672,-3.27156298103465,-3.80175121962523,-5.14971869765053,-2.01584754962837,-2.54114971783486,-5.10414571404453,-4.52865943987242,-3.13793956212837,2.28941137074804,7.90362615326517,124.430487576653,3.46078725591671,-15.3865566302915,-10.8261549802196,-9.73873616931287,-14.2993834274652,-5.05062955577536,2.44285409431065,-3.96326919572288,-6.10662275920234,3.66080040530327,8.38272795238963,0.320205078133333,0.945882162933333,-0.0784928386266667,0.00659683563126388,0.00895406083002397,0.00841865469981402,0.3388672,0.9758301,-0.030273438,0.493998150316585,-0.755290048250491,-0.700786510597375,1.00173701951035,0.0100874875376994,75.1302764632761,1.79278775694206e-05
